alsa-utils 1.2.4-2
autoconf 2.71-1
automake 1.16.3-1
base 2-2.3
binutils 2.36.1-2
bison 3.7.6-1
code 1.54.3-3
discord 0.0.14-1
dkms 2.8.4-1
elogind-runit 20191020-2
esysusers 248-1
etmpfiles 248-1
fakeroot 1.25.3-2
file 5.40-1
findutils 4.8.0-1
firefox 87.0-1
flex 2.6.4-3
gawk 5.1.0-1
gcc 10.2.0-6
gettext 0.21-1
git 2.31.1-1
grep 3.6-1
groff 1.22.4-5
grub 2:2.04-10
gzip 1.10-3
jdk11-openjdk 11.0.10.u9-1
libtool 2.4.6+42+gb88cebd5-14
libva-intel-driver 2.4.1-1
libva-utils 2.11.1-1
linux 5.11.10.artix1-1
linux-firmware 20210315.3568f96-1
linux-headers 5.11.10.artix1-1
m4 1.4.18-3
maim 5.6.3-3
make 4.3-3
maven 3.6.3-1
mongodb-bin 4.4.4-1
mupdf 1.18.0-2
nano 5.6.1-1
neofetch 7.1.0-2
networkmanager 1.30.2-1
networkmanager-runit 20180226-2
nitrogen 1.6.1-3
nmap 7.91-1
pacman 5.2.2-2
pamixer 1.4-5
pandoc 2.13-1
patch 2.7.6-9
picom 8.2-1
pkgconf 1.7.3-1
postman-bin 8.1.0-1
pulseaudio 14.2-3
rdesktop 1.9.0-2
runit 2.1.2-23
sed 4.8-1
signal-desktop 1.40.1-1
sudo 1.9.6.p1-1
telegram-desktop 2.7.1-1
texinfo 6.7-3
ttf-font-awesome 5.15.3-1
which 2.21-5
xclip 0.13-3
xorg-server 1.20.10-3
xorg-xinit 1.4.1-3
xorg-xrandr 1.5.1-2
xorg-xsetroot 1.1.2-2
yay-git 10.2.0.r8.g2da1e15-1
zenmap 7.91-1
