acpi 1.7-3
acpi_call 1.2.1-21
alsa-utils 1.2.4-2
arch-wiki-docs 20200527-1
arch-wiki-lite 20200527-1
autoconf 2.70-1
automake 1.16.2-3
base 2-2
binutils 2.35.1-1
bison 3.7.2-1
broadcom-bt-firmware-git 12.0.1.1105_p3.r0.g68a7a8a-1
calcurse 4.7.0-1
calibre 5.10.1-1
dhcpcd 9.4.0-1
discord 0.0.13-1
dkms 2.8.4-1
fakeroot 1.25.3-1
file 5.39-1
findutils 4.7.0-2
firefox 84.0.2-1
flashrom 1.2-2
flex 2.6.4-3
freerdp 2:2.2.0-2
gawk 5.1.0-1
gcc 10.2.0-4
geteltorito 0.6-1
gettext 0.21-1
git 2.30.0-1
grep 3.6-1
groff 1.22.4-3
grub 2:2.04-8
gzip 1.10-3
htop 3.0.5-1
intellij-idea-ultimate-edition 2020.3.1-1
jre11-openjdk 11.0.10.u8-2
libtool 2.4.6+42+gb88cebd5-14
linux 5.10.10.arch1-1
linux-firmware 20201218.646f159-1
linux-headers 5.10.10.arch1-1
m4 1.4.18-3
make 4.3-3
mongodb-bin 4.4.3-1
mongodb-tools-bin 100.2.1-1
mpc 0.33-3
mpd 0.22.4-2
mpv 1:0.33.0-4
nano 5.5-1
ncmpcpp 0.9.2-1
neofetch 7.1.0-2
networkmanager 1.28.1dev+7+g3f5df3cdc6-1
nitrogen 1.6.1-3
nodejs 15.6.0-1
npm 6.14.11-1
packettracer 7.3.1-3
pacman 5.2.2-1
pamixer 1.4-5
patch 2.7.6-8
picom 8.2-1
pkgconf 1.7.3-1
playerctl 2.3.1-1
pulseaudio 14.2-2
pycharm-professional 2020.3.2-1
qrencode 4.1.1-1
remmina 1:1.4.10-1
sed 4.8-1
signal-desktop 1.39.6-1
sudo 1.9.5.p1-1
telegram-desktop 2.5.1-1
texinfo 6.7-3
thinkfan 1.2.1-3
thunderbird 78.6.1-1
tlp 1.3.1-2
tlp-rdw 1.3.1-2
tp_smapi 0.43-268
traceroute 2.1.0-5
ttf-font-awesome 5.15.2-1
upower 0.99.11-3
vim 8.2.2380-1
wget 1.21.1-1
which 2.21-5
xorg-server 1.20.10-3
xorg-xinit 1.4.1-3
xorg-xinput 1.6.3-2
xorg-xrandr 1.5.1-2
xorg-xsetroot 1.1.2-2
yay 10.1.2-1
youtube-dl 2021.01.24.1-1
zathura 0.4.7-1
zathura-cb 0.1.8-2
zathura-djvu 0.2.9-1
zathura-pdf-poppler 0.3.0-1
zathura-ps 0.2.6-2
